dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,48.001052,129.000000,0.045000,1.800000,36.000000,720.000000,6.283098
0.050000,48.097002,129.000012,0.140950,1.919000,2.379996,-672.400074,0.000250
0.050000,48.315298,129.000128,0.359246,4.365912,48.938245,931.164978,0.000809
0.050000,48.621007,129.000493,0.664955,6.114193,34.965621,-279.452483,0.001583
0.050000,49.014226,129.001309,1.058175,7.864391,35.003954,0.766656,0.002564
0.050000,49.495076,129.002827,1.539027,9.617053,35.053251,0.985940,0.003743
0.050000,50.063707,129.005345,2.107664,11.372729,35.113520,1.205375,0.005107
0.050000,50.720294,129.009204,2.764262,13.131968,35.184767,1.424941,0.006640
0.050000,51.465039,129.014781,3.509028,14.895316,35.266971,1.644082,0.008327
0.050000,52.298169,129.022481,4.342194,16.663325,35.360179,1.864158,0.010146
0.050000,53.219940,129.032730,5.264021,18.436542,35.464335,2.083133,0.012077
0.050000,54.230629,129.045966,6.274797,20.215514,35.579446,2.302220,0.014096
0.050000,55.330542,129.062627,7.374837,22.000789,35.705497,2.521011,0.016176
0.050000,56.520011,129.083140,8.564482,23.792912,35.842464,2.739341,0.018289
0.050000,57.799392,129.107912,9.844104,25.592428,35.990324,2.957192,0.020404
0.050000,59.169071,129.137311,11.214098,27.399881,36.149046,3.174445,0.022487
0.050000,60.629457,129.171656,12.674888,29.215809,36.318558,3.390238,0.024505
0.050000,62.180991,129.211200,14.226926,31.040756,36.498938,3.607600,0.026418
0.050000,63.824141,129.256110,15.870689,32.875259,36.690066,3.822569,0.028188
0.050000,65.559403,129.306455,17.606682,34.719858,36.891983,4.038327,0.029772
0.050000,67.387309,129.362179,19.435436,36.575094,37.104713,4.254608,0.031126
0.050000,69.308419,129.423086,21.357512,38.441507,37.328263,4.470999,0.032203
0.050000,71.323329,129.488817,23.373494,40.319642,37.562712,4.688984,0.032954
0.050000,73.432670,129.558824,25.483996,42.210049,37.808124,4.908236,0.033329
0.050000,75.637109,129.632345,27.689660,44.113279,38.064604,5.129612,0.033274
0.050000,77.937347,129.708382,29.991155,46.029893,38.332282,5.353550,0.032733
0.050000,80.334124,129.785667,32.389178,47.960457,38.611283,5.580028,0.031647
0.050000,82.828214,129.862634,34.884455,49.905543,38.901727,5.808868,0.029957
0.050000,85.420423,129.937387,37.477741,51.865728,39.203685,6.039174,0.027600
0.050000,88.111584,130.007668,40.169821,53.841587,39.517185,6.269987,0.024510
0.050000,90.902555,130.070819,42.961505,55.833692,39.842108,6.498474,0.020620
0.050000,93.794200,130.123744,45.853635,57.842598,40.178120,6.720228,0.015859
0.050000,96.787386,130.162874,48.847077,59.868833,40.524698,6.931558,0.010155
0.050000,99.882957,130.184122,51.942721,61.912874,40.880812,7.122285,0.003434
0.050000,103.081713,130.182843,55.141477,63.975125,41.245016,7.284070,6.278806
0.050000,106.384379,130.153797,58.444271,66.055879,41.615085,7.401392,6.269822
0.050000,109.791566,130.091103,61.852035,68.155278,41.987985,7.457988,6.259590
0.050000,113.303722,129.988207,65.365697,70.273254,42.359527,7.430858,6.248033
0.050000,116.921071,129.837844,68.986170,72.409460,42.724103,7.291505,6.235075
0.050000,120.643546,129.632022,72.714330,74.563200,43.074813,7.014211,6.220643
0.050000,124.423391,129.365719,76.503545,75.784296,24.421911,-373.058046,6.204871
0.050000,128.211981,129.036500,80.306412,76.057340,5.460881,-379.220598,6.187962
0.050000,132.562652,128.483494,84.692088,87.713526,233.123717,4553.256728,6.113693
0.050000,137.147504,127.478906,89.385708,93.872397,123.177420,-2198.925950,6.022421
0.050000,141.514624,126.117847,93.960008,91.485997,-47.728004,-3418.108478,5.941124
0.050000,145.642170,124.479279,98.400902,88.817886,-53.362201,-112.683941,5.870974
0.050000,149.533649,122.635684,102.706997,86.121885,-53.920037,-11.156719,5.812081
0.050000,153.207935,120.647787,106.884570,83.551459,-51.408513,50.230475,5.763916
0.050000,156.690988,118.564236,110.943244,81.173488,-47.559420,76.981861,5.725672
0.050000,160.010454,116.423643,114.893054,78.996197,-43.545817,80.272056,5.696510
0.050000,163.192763,114.257191,118.742808,76.995076,-40.022431,70.467736,5.675692
0.050000,166.261776,112.091037,122.499277,75.129388,-37.313756,54.173500,5.662650
0.050000,169.238319,109.948265,126.166876,73.351971,-35.548337,35.308369,5.657017
0.050000,172.140069,107.850423,129.747531,71.613114,-34.777132,15.424102,5.658629
0.050000,174.981560,105.818688,133.240670,69.862780,-35.006677,-4.590889,5.667533
0.050000,177.774130,103.874759,136.643214,68.050876,-36.238099,-24.628440,5.683985
0.050000,180.525748,102.041453,139.949635,66.128410,-38.449317,-44.224378,5.708443
0.050000,183.240734,100.342952,143.152142,64.050140,-41.565385,-62.321353,5.741555
0.050000,185.919442,98.804569,146.241170,61.780567,-45.391471,-76.521712,5.784117
0.050000,188.558238,97.451772,149.206521,59.307031,-49.470715,-81.584881,5.836975
0.050000,191.150234,96.308325,152.039525,56.660069,-52.939251,-69.370716,5.900851
0.050000,193.687508,95.393663,154.736628,53.942070,-54.359971,-28.414410,5.976040
0.050000,196.165251,94.720320,157.304235,51.352134,-51.798723,51.224957,6.062006
0.050000,198.587058,94.293063,159.763441,49.184119,-43.360288,168.768705,6.156995
0.050000,200.968372,94.111155,162.151694,47.765050,-28.381396,299.577842,6.257889
0.050000,203.334320,94.172913,164.518447,47.335075,-8.599485,395.638221,0.077386
0.050000,205.711358,94.478947,166.915104,47.933142,11.961329,411.216274,0.177581
0.050000,208.117632,95.031129,169.383922,49.376359,28.864343,338.060291,0.271770
0.050000,210.554665,95.827202,171.947682,51.275184,37.976506,182.243256,0.357618
0.050000,212.985183,96.844776,174.582615,52.698662,28.469555,-190.139015,0.433364
0.050000,215.368838,98.046399,177.252017,53.388050,13.787761,-293.635886,0.498749
0.050000,217.692510,99.400374,179.941385,53.787361,7.986209,-116.031047,0.554979
0.050000,219.945972,100.876023,182.635013,53.872557,1.703934,-125.645489,0.603365
0.050000,222.270398,102.539388,185.493289,57.165512,65.859085,1283.103017,0.628194
0.050000,224.681268,104.304548,188.481279,59.759804,51.885844,-279.464825,0.637069
0.050000,226.932154,105.995594,191.296616,56.306740,-69.061276,-2418.942388,0.652830
0.050000,229.019742,107.626718,193.945877,52.985231,-66.430173,52.622052,0.674929
0.050000,230.942736,109.208243,196.435682,49.796095,-63.782732,52.948822,0.702814
