dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,47.998948,105.000000,0.045000,1.800000,36.000000,720.000000,6.283098
0.050000,48.102998,105.000013,0.149050,2.081000,5.620003,-607.599943,0.000250
0.050000,48.334702,105.000136,0.380754,4.634088,51.061753,908.834996,0.000809
0.050000,48.658992,105.000524,0.705045,6.485807,37.034375,-280.547553,0.001583
0.050000,49.075772,105.001388,1.121825,8.335608,36.996038,-0.766742,0.002564
0.050000,49.584917,105.002995,1.630972,10.182945,36.946737,-0.986026,0.003743
0.050000,50.186274,105.005658,2.232336,12.027269,36.886467,-1.205391,0.005107
0.050000,50.879664,105.009733,2.925737,13.868030,36.815227,-1.424800,0.006640
0.050000,51.664876,105.015613,3.710971,15.704680,36.732991,-1.644726,0.008327
0.050000,52.541672,105.023716,4.587805,17.536670,36.639812,-1.863576,0.010146
0.050000,53.509785,105.034481,5.555977,19.363452,36.535647,-2.083300,0.012077
0.050000,54.568918,105.048351,6.615201,21.184479,36.420527,-2.302393,0.014096
0.050000,55.718746,105.065767,7.765162,22.999203,36.294474,-2.521059,0.016176
0.050000,56.958915,105.087154,9.005515,24.807078,36.157511,-2.739264,0.018289
0.050000,58.289044,105.112907,10.335893,26.607561,36.009668,-2.956868,0.020404
0.050000,59.708723,105.143379,11.755899,28.400110,35.850972,-3.173919,0.022487
0.050000,61.217515,105.178862,13.265108,30.184180,35.681405,-3.391335,0.024505
0.050000,62.814958,105.219575,14.863070,31.959235,35.501097,-3.606152,0.026418
0.050000,64.500565,105.265645,16.549306,33.724733,35.309957,-3.822801,0.028188
0.050000,66.273825,105.317090,18.323313,35.480135,35.108033,-4.038488,0.029772
0.050000,68.134206,105.373803,20.184558,37.224901,34.895324,-4.254178,0.031126
0.050000,70.081153,105.435529,22.132483,38.958489,34.671768,-4.471122,0.032203
0.050000,72.114089,105.501848,24.166500,40.680356,34.437330,-4.688756,0.032954
0.050000,74.232420,105.572152,26.285998,42.389951,34.191910,-4.908406,0.033329
0.050000,76.435531,105.645630,28.490334,44.086721,33.935403,-5.130130,0.033274
0.050000,78.722787,105.721238,30.778839,45.770106,33.667693,-5.354208,0.032733
0.050000,81.093532,105.797685,33.150816,47.439538,33.388645,-5.580963,0.031647
0.050000,83.547086,105.873402,35.605539,49.094445,33.098136,-5.810185,0.029957
0.050000,86.082744,105.946528,38.142251,50.734249,32.796069,-6.041339,0.027600
0.050000,88.699770,106.014877,40.760170,52.358371,32.482444,-6.272495,0.024510
0.050000,91.397392,106.075921,43.458482,53.966239,32.157366,-6.501563,0.020620
0.050000,94.174791,106.126762,46.236346,55.557294,31.821100,-6.725315,0.015859
0.050000,97.031097,106.164112,49.092897,57.131008,31.474279,-6.936421,0.010155
0.050000,99.965373,106.184263,52.027242,58.686898,31.117805,-7.129472,0.003434
0.050000,102.976601,106.183073,55.038469,60.224559,30.753209,-7.291929,6.278806
0.050000,106.063666,106.155940,58.125654,61.743690,30.382627,-7.411645,6.269822
0.050000,109.225339,106.097784,61.287861,63.244147,30.009148,-7.469574,6.259590
0.050000,112.460251,106.003033,64.524161,64.725994,29.636929,-7.444370,6.248033
0.050000,115.766875,105.865614,67.833639,66.189565,29.271413,-7.310332,6.235075
0.050000,119.143497,105.678946,71.215417,67.635561,28.919934,-7.029571,6.220643
0.050000,122.545777,105.439279,74.626128,68.214206,11.572891,-346.940864,6.204871
0.050000,125.930073,105.145227,78.023175,67.940939,-5.465334,-340.764496,6.187962
0.050000,128.514280,104.827403,80.626852,52.073550,-317.347784,-6237.649008,6.113693
0.050000,130.959856,104.290267,83.130721,50.077374,-39.923520,5548.485278,6.022421
0.050000,133.464321,103.508278,85.754430,52.474191,47.936351,1757.197419,5.941124
0.050000,136.026895,102.489588,88.512058,55.152560,53.567363,112.620247,5.870974
0.050000,138.640752,101.250063,91.404925,57.857327,54.095339,10.559511,5.812081
0.050000,141.298033,99.811419,94.426652,60.434543,51.544320,-51.020371,5.763916
0.050000,143.993133,98.198468,97.567539,62.817751,47.664169,-77.603025,5.725672
0.050000,146.724168,96.436783,100.817476,64.998732,43.619629,-80.890791,5.696510
0.050000,149.493290,94.551241,104.167596,67.002407,40.073488,-70.922821,5.675692
0.050000,152.306483,92.565417,107.611076,68.869589,37.343649,-54.596775,5.662650
0.050000,155.173252,90.501572,111.143472,70.647919,35.566599,-35.541012,5.657017
0.050000,158.106370,88.381080,114.762818,72.386928,34.780182,-15.728345,5.658629
0.050000,161.121777,86.225159,118.469660,74.136827,34.997981,4.355993,5.667533
0.050000,164.238551,84.055877,122.267036,75.947532,36.214089,24.322151,5.683985
0.050000,167.478900,81.897477,126.160435,77.867968,38.408733,43.892885,5.708443
0.050000,170.867932,79.778084,130.157604,79.943388,41.508394,61.993228,5.741555
0.050000,174.432854,77.731878,134.268033,82.208587,45.303969,75.911485,5.784117
0.050000,178.201049,75.801630,138.501843,84.676202,49.352303,80.966676,5.836975
0.050000,182.196150,74.041211,142.867609,87.315311,52.782189,68.597723,5.900851
0.050000,186.431373,72.516851,147.368807,90.023965,54.173085,27.817923,5.976040
0.050000,190.900131,71.304973,151.998974,92.603337,51.587432,-51.713052,6.062006
0.050000,195.566518,70.483898,156.737047,94.761454,43.162336,-168.501916,6.156995
0.050000,200.361319,70.118834,161.545725,96.173573,28.242377,-298.399190,6.257889
0.050000,205.189739,70.244741,166.375786,96.601217,8.552892,-393.789707,0.077386
