dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,153.944409,127.733328,0.066036,2.641458,52.829166,1056.583318,5.366486
0.050000,154.062427,127.579449,0.259962,3.878510,24.741040,-561.762515,5.366828
0.050000,154.258990,127.323410,0.582752,6.455792,51.545637,536.091927,5.367431
0.050000,154.533912,126.965862,1.033775,9.020463,51.293425,-5.044232,5.368348
0.050000,154.886964,126.507751,1.612145,11.567408,50.938902,-7.090462,5.369651
0.050000,155.317910,125.950340,2.316717,14.091441,50.480655,-9.164932,5.371433
0.050000,155.826541,125.295255,3.146079,16.587242,49.916025,-11.292600,5.373809
0.050000,156.412724,124.544534,4.098546,19.049328,49.241710,-13.486300,5.376918
0.050000,157.076452,123.700687,5.172144,21.471961,48.452653,-15.781144,5.380919
0.050000,157.817897,122.766767,6.364598,23.849077,47.542318,-18.206692,5.386000
0.050000,158.637468,121.746462,7.673307,26.174185,46.502169,-20.802986,5.392372
0.050000,159.535867,120.644193,9.095319,28.440239,45.321077,-23.621850,5.400276
0.050000,160.514140,119.465234,10.627299,30.639603,43.987284,-26.675859,5.409984
0.050000,161.573720,118.215845,12.265493,32.763887,42.485688,-30.031916,5.421803
0.050000,162.716461,116.903429,14.005693,34.803991,40.802062,-33.672521,5.436076
0.050000,163.944662,115.536692,15.843204,36.750225,38.924693,-37.547384,5.453186
0.050000,165.261061,114.125815,17.772836,38.592631,36.848109,-41.531670,5.473556
0.050000,166.668815,112.682617,19.788919,40.321660,34.580588,-45.350421,5.497649
0.050000,168.171464,111.220680,21.885396,41.929543,32.157669,-48.458386,5.525960
0.050000,169.772884,109.755407,24.056011,43.412307,29.655261,-50.048159,5.558997
0.050000,171.477263,108.303966,26.294669,44.773158,27.217037,-48.764476,5.597258
0.050000,173.289141,106.885065,28.596012,46.026864,25.074107,-42.858606,5.641180
0.050000,175.213585,105.518541,30.956282,47.205389,23.570513,-30.071877,5.691068
0.050000,177.256537,104.224768,33.374443,48.363219,23.156584,-8.278577,5.747005
0.050000,179.425338,103.024021,35.853453,49.580214,24.339912,23.666549,5.808751
0.050000,181.729249,101.935969,38.401366,50.958259,27.560894,64.419654,5.875646
0.050000,184.179625,100.979504,41.031798,52.608628,33.007391,108.929927,5.946581
0.050000,186.789306,100.172912,43.763286,54.629757,40.422572,148.303621,6.020042
0.050000,189.571021,99.534118,46.617404,57.082375,49.052358,172.595736,6.094271
0.050000,192.827719,99.005814,49.916675,65.985422,178.060934,2580.171503,6.139585
0.050000,196.357429,98.561819,53.474200,71.150485,103.301271,-1495.193257,6.177992
0.050000,199.916215,98.269337,57.044985,71.415707,5.304434,-1959.936739,6.226087
0.050000,203.483197,98.167487,60.613421,71.368722,-0.939698,-124.882640,0.001956
0.050000,207.034445,98.296855,64.167024,71.072064,-5.933164,-99.869321,0.072984
0.050000,210.460457,98.684117,67.614854,68.956594,-42.309400,-727.524706,0.154119
0.050000,213.659265,99.322161,70.876675,65.236418,-74.403508,-641.882169,0.241139
0.050000,216.632982,100.194952,73.975828,61.983073,-65.066914,186.731872,0.330656
0.050000,219.403033,101.285186,76.952705,59.537533,-48.910800,323.122290,0.419377
0.050000,221.990457,102.573939,79.843318,57.812265,-34.505360,288.108800,0.504368
0.050000,224.564970,104.105924,82.839165,59.916933,42.093364,1531.974477,0.567670
0.050000,226.983941,105.753489,85.765919,58.535084,-27.636973,-1394.606748,0.628183
0.050000,229.221148,107.479920,88.591810,56.517812,-40.345435,-254.169237,0.686151
0.050000,231.286262,109.268307,91.323663,54.637068,-37.614896,54.610788,0.741020
0.050000,233.189017,111.101843,93.966074,52.848215,-35.777047,36.756974,0.792412
0.050000,234.939033,112.964045,96.521529,51.109104,-34.782232,19.896293,0.840126
0.050000,236.545726,114.839000,98.990723,49.383882,-34.504428,5.556090,0.884103
0.050000,238.018265,116.711611,101.372958,47.644704,-34.783566,-5.582756,0.924401
0.050000,239.438629,118.662319,103.785984,48.260509,12.316100,941.993318,0.949118
0.050000,240.918938,120.735660,106.333543,50.951187,53.813555,829.949107,0.954370
0.050000,242.227661,122.610199,108.619731,45.723757,-104.548591,-3167.242937,0.970175
0.050000,243.362209,124.308009,110.661730,40.839970,-97.675740,137.457035,0.995130
0.050000,244.325975,125.844564,112.475523,36.275861,-91.282174,127.871306,1.027930
0.050000,245.127600,127.231384,114.077356,32.036674,-84.783756,129.968370,1.067250
0.050000,245.780197,128.478237,115.484668,28.146235,-77.808768,139.499759,1.111666
0.050000,246.300255,129.594731,116.716342,24.633472,-70.255267,151.070009,1.159639
0.050000,246.706172,130.591119,117.792239,21.517954,-62.310359,158.898177,1.209547
0.050000,247.016659,131.478268,118.732152,18.798250,-54.394073,158.325708,1.259776
0.050000,247.249350,132.266992,119.554484,16.446648,-47.032036,147.240751,1.308823
0.050000,247.419897,132.967108,120.275074,14.411796,-40.697059,126.699534,1.355395
0.050000,247.541627,133.586638,120.906450,12.627523,-35.685456,100.232056,1.398470
0.050000,247.625622,134.131403,121.457653,11.024048,-32.069490,72.319314,1.437310
0.050000,247.681029,134.605057,121.934536,9.537661,-29.727741,46.834982,1.471435
0.050000,247.715396,135.009434,122.340371,8.116702,-28.419183,26.171169,1.500580
0.050000,247.734944,135.345053,122.676558,6.723749,-27.859061,11.202437,1.524630
0.050000,247.744727,135.611615,122.943300,5.334834,-27.778303,1.615170,1.543567
0.050000,247.748722,135.808446,123.140171,3.937422,-27.948232,-3.398597,1.557427
0.050000,247.749852,135.934812,123.266543,2.527434,-28.199754,-5.030434,1.566261
0.050000,247.749997,135.990147,123.321878,1.106700,-28.414681,-4.298529,1.570112
0.050000,247.750000,136.000000,123.331731,0.197059,-18.192822,204.437169,1.570796
0.050000,247.750000,136.000000,123.331731,0.000000,-3.941187,285.032700,1.570796
