dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,144.222838,120.279901,0.066036,2.641458,52.829166,1056.583318,5.366486
0.050000,144.343403,120.122702,0.264146,5.282917,52.829166,0.000000,5.366828
0.050000,144.544468,119.860799,0.594328,7.924375,52.829166,0.000000,5.367431
0.050000,144.826236,119.494348,1.056583,10.565833,52.829166,-0.000000,5.368348
0.050000,145.189029,119.023596,1.650911,13.207291,52.829166,0.000000,5.369651
0.050000,145.633327,118.448916,2.377312,15.848750,52.829166,0.000000,5.371433
0.050000,146.159813,117.770837,3.235786,18.490208,52.829166,-0.000000,5.373809
0.050000,146.769433,116.990103,4.226333,21.131666,52.829166,0.000000,5.376918
0.050000,147.463468,116.107727,5.348953,23.773125,52.829166,0.000000,5.380919
0.050000,148.243614,115.125065,6.603646,26.414583,52.829166,-0.000000,5.386000
0.050000,149.112070,114.043910,7.990411,29.056041,52.829166,0.000000,5.392372
0.050000,150.071647,112.866595,9.509250,31.697500,52.829166,-0.000000,5.400276
0.050000,151.125871,111.596123,11.160161,34.338958,52.829166,-0.000000,5.409984
0.050000,152.279108,110.236328,12.943146,36.980416,52.829166,0.000000,5.421803
0.050000,153.536683,108.792068,14.858203,39.621874,52.829166,0.000000,5.436076
0.050000,154.905005,107.269461,16.905333,42.263333,52.829166,-0.000000,5.453186
0.050000,156.391675,105.676170,19.084536,44.904791,52.829166,0.000000,5.473556
0.050000,158.005564,104.021752,21.395812,47.546249,52.829166,0.000000,5.497649
0.050000,159.756844,102.318058,23.839161,50.187708,52.829166,-0.000000,5.525960
0.050000,161.656921,100.579697,26.414583,52.829166,52.829166,0.000000,5.558997
0.050000,163.718228,98.824520,29.122078,55.470624,52.829166,0.000000,5.597258
0.050000,165.953808,97.074083,31.961645,58.112082,52.829166,0.000000,5.641180
0.050000,168.376623,95.353972,34.933286,60.753541,52.829166,-0.000000,5.691068
0.050000,170.998555,93.693853,38.036999,63.394999,52.829166,0.000000,5.747005
0.050000,173.829105,92.127018,41.272786,66.036457,52.829166,0.000000,5.808751
0.050000,176.873948,90.689256,44.640645,68.677916,52.829166,-0.000000,5.875646
0.050000,180.133646,89.416955,48.140577,71.319374,52.829166,0.000000,5.946581
0.050000,183.602875,88.344592,51.772583,73.960832,52.829166,0.000000,6.020042
0.050000,187.270563,87.502061,55.536661,76.602291,52.829166,0.000000,6.094271
0.050000,191.074660,86.881900,59.432812,79.243749,52.829166,0.000000,6.139585
0.050000,195.071186,86.379534,63.461036,81.885207,52.829166,-0.000000,6.177992
0.050000,199.217144,86.039301,67.621332,84.526665,52.829166,0.000000,6.226087
0.050000,203.507162,85.917510,71.913702,87.168124,52.829166,0.000000,0.001956
0.050000,207.927708,86.079466,76.338145,89.809582,52.829166,0.000000,0.072984
0.050000,212.340951,86.579315,80.780824,87.897603,-38.239575,-1821.374821,0.154119
0.050000,216.584672,87.426594,85.109668,85.256145,-52.829166,-291.791814,0.241139
0.050000,220.610106,88.608538,89.306439,82.614687,-52.829166,0.000000,0.330656
