dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,134.501268,112.826474,0.066036,2.641458,52.829166,1056.583318,5.366486
0.050000,134.624379,112.665956,0.268330,4.045869,28.088208,-494.819163,5.366828
0.050000,134.829946,112.398188,0.605905,6.751500,54.112618,520.488211,5.367431
0.050000,135.118560,112.022833,1.079392,9.469746,54.364924,5.046113,5.368348
0.050000,135.491095,111.539442,1.689678,12.205714,54.719366,7.088833,5.369651
0.050000,135.948745,110.947492,2.437908,14.964600,55.177725,9.167192,5.371433
0.050000,136.493084,110.246420,3.325493,17.751709,55.742177,11.289028,5.373809
0.050000,137.126141,109.435672,4.354120,20.572533,56.416470,13.485862,5.376918
0.050000,137.850484,108.514766,5.525760,23.432801,57.205361,15.777820,5.380919
0.050000,138.669331,107.483363,6.842689,26.338577,58.115529,18.203370,5.386000
0.050000,139.586673,106.341359,8.307507,29.296355,59.155561,20.800640,5.392372
0.050000,140.607426,105.088997,9.923163,32.313134,60.335584,23.600451,5.400276
0.050000,141.737602,103.727013,11.692993,35.396599,61.669284,26.674007,5.409984
0.050000,142.984496,102.256812,13.620748,38.555085,63.169722,30.008756,5.421803
0.050000,144.356905,100.680708,15.710630,41.797652,64.851339,33.632346,5.436076
0.050000,145.865349,99.002230,17.967329,45.133978,66.726525,37.503723,5.453186
0.050000,147.522290,97.226525,20.396029,48.573991,68.800271,41.474906,5.473556
0.050000,149.342313,95.360887,23.002385,52.127131,71.062787,45.250334,5.497649
0.050000,151.342224,93.415436,25.792443,55.801153,73.480448,48.353208,5.525960
0.050000,153.540959,91.403988,28.772436,59.599858,75.974102,49.873093,5.558997
0.050000,155.959194,89.345075,31.948437,63.520024,78.403309,48.584141,5.597258
0.050000,158.618474,87.263100,35.325772,67.546700,80.533532,42.604456,5.641180
0.050000,161.539662,85.189404,38.908167,71.647893,82.023860,29.806552,5.691068
0.050000,164.740573,83.162939,42.696622,75.769114,82.424411,8.011021,5.747005
0.050000,168.232871,81.230015,46.688155,79.830654,81.230807,-23.872075,5.808751
0.050000,172.018647,79.442543,50.874700,83.730903,78.004967,-64.516797,5.875646
0.050000,176.087666,77.854405,55.242663,87.359253,72.567011,-108.759133,5.946581
0.050000,180.416444,76.516272,59.773548,90.617695,65.168833,-147.963547,6.020042
0.050000,184.970105,75.470004,64.445860,93.446253,56.571172,-171.953233,6.094271
0.050000,189.321600,74.757986,68.855223,88.187258,-105.179915,-3235.021741,6.139585
0.050000,193.784943,74.197248,73.353651,89.968567,35.626188,2816.122062,6.177992
0.050000,198.518074,73.809264,78.102657,94.980114,100.230938,1292.095003,6.226087
0.050000,203.531126,73.667534,83.117713,100.301113,106.419987,123.780986,0.001956
0.050000,208.820971,73.862078,88.411133,105.868410,111.345937,98.518997,0.072984
0.050000,214.221445,74.474512,93.846223,108.701799,56.667787,-1093.562996,0.154119
0.050000,219.510078,75.531028,99.239354,107.862622,-16.783556,-1469.026861,0.241139
0.050000,224.587230,77.022125,104.530937,105.831650,-40.619426,-476.717394,0.330656
0.050000,229.379234,78.908292,109.680784,102.996936,-56.694297,-321.497435,0.419377
0.050000,233.830194,81.124682,114.653050,99.445330,-71.032120,-286.756455,0.504368
0.050000,237.737860,83.448602,119.199527,90.929544,-170.315704,-1985.671683,0.567670
0.050000,241.381983,85.930614,123.608611,88.181677,-54.957351,2307.167066,0.628183
0.050000,244.743473,88.524514,127.854542,84.918618,-65.261183,-206.076635,0.686151
0.050000,247.824757,91.192683,131.930501,81.519174,-67.988864,-54.553634,0.741020
0.050000,250.634220,93.899666,135.831890,78.027789,-69.827711,-36.776941,0.792412
0.050000,253.184845,96.613500,139.556214,74.486472,-70.826333,-19.972428,0.840126
0.050000,255.492718,99.306406,143.102764,70.931004,-71.109366,-5.660667,0.884103
0.050000,257.575632,101.954938,146.472223,67.389178,-70.836517,5.456983,0.924401
0.050000,259.354731,104.393511,149.490803,60.371603,-140.351508,-1390.299820,0.949118
0.050000,260.909701,106.571642,152.167029,53.524522,-136.941611,68.197932,0.954370
0.050000,262.439780,108.763891,154.840435,53.468120,-1.128035,2716.271524,0.970175
0.050000,263.913533,110.970353,157.493815,53.067593,-8.010553,-137.650347,0.995130
0.050000,265.303645,113.188049,160.111177,52.347241,-14.407042,-127.929785,1.027930
0.050000,266.586579,115.409276,162.676283,51.302127,-20.902278,-129.904725,1.067250
