dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,48.000117,129.250000,0.066375,2.655000,53.100000,1062.000000,6.283176
0.050000,48.183917,129.250012,0.250175,3.676005,20.420105,-653.597909,0.000129
0.050000,48.512987,129.250092,0.579246,6.581408,58.108055,753.759004,0.000358
0.050000,48.973745,129.250330,1.040004,9.215160,52.675033,-108.660441,0.000674
0.050000,49.566250,129.250848,1.632509,11.850100,52.698802,0.475391,0.001071
0.050000,50.290578,129.251796,2.356837,14.486568,52.729364,0.611235,0.001545
0.050000,51.146822,129.253352,3.213082,17.124904,52.766718,0.747074,0.002086
0.050000,52.135091,129.255712,4.201355,19.765447,52.810865,0.882944,0.002686
0.050000,53.255513,129.259088,5.321781,22.408537,52.861803,1.018760,0.003335
0.050000,54.508230,129.263699,6.574507,25.054514,52.919534,1.154628,0.004020
0.050000,55.893403,129.269766,7.959693,27.703717,52.984054,1.290397,0.004730
0.050000,57.411207,129.277498,9.477517,30.356485,53.055366,1.426243,0.005448
0.050000,59.061837,129.287088,11.128175,33.013158,53.133465,1.561965,0.006160
0.050000,60.845503,129.298701,12.911879,35.674076,53.218348,1.697677,0.006847
0.050000,62.762433,129.312460,14.828858,38.339576,53.310018,1.833398,0.007492
0.050000,64.812870,129.328437,16.879358,41.010000,53.408471,1.969045,0.008073
0.050000,66.997079,129.346638,19.063642,43.685685,53.513707,2.104724,0.008571
0.050000,69.315338,129.366987,21.381991,46.366972,53.625727,2.240396,0.008961
0.050000,71.767946,129.389314,23.834700,49.054198,53.744533,2.376137,0.009219
0.050000,74.355220,129.413335,26.422086,51.747705,53.870131,2.511960,0.009320
0.050000,77.077494,129.438639,29.144477,54.447831,54.002525,2.647880,0.009237
0.050000,79.935121,129.464665,32.002223,57.154917,54.141723,2.783960,0.008942
0.050000,82.928474,129.490684,34.995688,59.869304,54.287731,2.920144,0.008404
0.050000,86.057940,129.515780,38.125255,62.591332,54.440555,3.056479,0.007592
0.050000,89.323925,129.538826,41.391322,65.321341,54.600194,3.192784,0.006474
0.050000,92.726852,129.558462,44.794306,68.059673,54.766639,3.328900,0.005016
0.050000,96.267156,129.573071,48.334639,70.806667,54.939871,3.464638,0.003183
0.050000,99.945280,129.580756,52.012772,73.562659,55.119839,3.599369,0.000937
0.050000,103.761679,129.579307,55.829171,76.327982,55.306467,3.732553,6.281427
0.050000,107.716806,129.566184,59.784319,79.102963,55.499627,3.863210,6.278241
0.050000,111.811108,129.538478,63.878715,81.887920,55.699129,3.990034,6.274525
0.050000,116.045020,129.492889,68.112873,84.683155,55.904694,4.111295,6.270236
0.050000,120.418952,129.425696,72.487320,87.488951,56.115932,4.224759,6.265332
0.050000,124.933273,129.332719,77.002599,90.305567,56.332311,4.327584,6.259768
0.050000,128.969707,129.241222,81.040070,80.749421,-191.122904,-4949.104290,0.015898
0.050000,131.271670,129.494663,83.355942,46.317450,-688.639427,-9950.330469,0.211247
0.050000,133.460593,130.213117,85.659757,46.076284,-4.823320,13676.322151,0.418380
0.050000,135.871861,131.579943,88.431476,55.434396,187.162233,3839.711063,0.598189
0.050000,138.661937,133.785503,91.988022,71.130906,313.930204,2535.359413,0.724880
0.050000,141.840517,136.836488,96.393914,88.117838,339.738631,516.168546,0.793197
0.050000,145.427881,140.557983,101.562927,103.380273,305.248704,-689.798553,0.804703
0.050000,149.568516,144.707988,107.425299,117.247434,277.343222,-558.109626,0.759569
0.050000,154.581761,149.021997,114.039171,132.277435,300.600021,465.135965,0.652872
0.050000,160.817409,153.023886,121.448517,148.186932,318.189951,351.798596,0.480745
0.050000,167.812981,155.814451,128.980136,150.632373,48.908816,-5385.622686,0.293374
0.050000,173.161331,157.373133,134.550984,111.416956,-784.308337,-16664.343058,0.272072
0.050000,178.659736,158.817034,140.235815,113.696618,45.593226,16598.031253,0.239753
0.050000,184.257356,160.062403,145.970298,114.689664,19.860929,-514.645949,0.196246
0.050000,189.911314,161.032326,151.706847,114.730973,0.826179,-380.695000,0.141712
0.050000,195.612654,161.661559,157.442804,114.719153,-0.236407,-21.251711,0.076364
0.050000,201.333737,161.887565,163.168350,114.510918,-4.164703,-78.565911,0.001003
0.050000,207.023934,161.658704,168.863147,113.895944,-12.299472,-162.695388,6.200474
0.050000,212.610623,160.945475,174.495180,112.640646,-25.105955,-256.129654,6.111030
0.050000,218.008308,159.750663,180.023523,110.566864,-41.475655,-327.394012,6.019208
0.050000,223.134379,158.112551,185.404974,107.629019,-58.756887,-345.624624,5.928549
0.050000,227.925058,156.098221,190.601909,103.938707,-73.806251,-300.987284,5.842134
0.050000,232.344394,153.789857,195.587797,99.717750,-84.419132,-212.257635,5.762134
0.050000,236.218449,151.394516,200.142569,91.095456,-172.445883,-1760.535017,5.704220
0.050000,239.706794,149.017163,204.363986,84.428339,-133.342339,782.070885,5.665039
0.050000,243.018833,146.556636,208.489976,82.519793,-38.170919,1903.428391,5.622808
0.050000,246.141548,144.018649,212.513995,80.480381,-40.788236,-52.346328,5.578063
0.050000,249.063172,141.413500,216.428415,78.288408,-43.839461,-61.024503,5.531426
