dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,47.999883,104.750000,0.066375,2.655000,53.100000,1062.000000,6.283176
0.050000,48.187083,104.750012,0.253575,3.743995,21.779895,-626.402095,0.000129
0.050000,48.521763,104.750094,0.588254,6.693592,58.991945,744.240989,0.000358
0.050000,48.990255,104.750336,1.056746,9.369840,53.524966,-109.339567,0.000674
0.050000,49.592499,104.750862,1.658991,12.044900,53.501196,-0.475405,0.001071
0.050000,50.328420,104.751825,2.394913,14.718432,53.470634,-0.611245,0.001545
0.050000,51.197924,104.753405,3.264418,17.390096,53.433279,-0.747101,0.002086
0.050000,52.200898,104.755800,4.267395,20.059552,53.389132,-0.882928,0.002686
0.050000,53.337216,104.759224,5.403718,22.726462,53.338192,-1.018799,0.003335
0.050000,54.606732,104.763897,6.673243,25.390485,53.280463,-1.154593,0.004020
0.050000,56.009283,104.770040,8.075807,28.051282,53.215940,-1.290448,0.004730
0.050000,57.544688,104.777861,9.611233,30.708514,53.144632,-1.426169,0.005448
0.050000,59.212752,104.787553,11.279325,33.361840,53.066534,-1.561951,0.006160
0.050000,61.013260,104.799275,13.079871,36.010923,52.981651,-1.697676,0.006847
0.050000,62.945982,104.813148,15.012642,38.655422,52.889984,-1.833332,0.007492
0.050000,65.010669,104.829236,17.077392,41.294999,52.791533,-1.969023,0.008073
0.050000,67.207058,104.847538,19.273857,43.929314,52.686299,-2.104678,0.008571
0.050000,69.534870,104.867971,21.601759,46.558028,52.574280,-2.240387,0.008961
0.050000,71.993808,104.890355,24.060799,49.180801,52.455473,-2.376137,0.009219
0.050000,74.583561,104.914399,26.650664,51.797295,52.329874,-2.511983,0.009320
0.050000,77.303802,104.939684,29.371022,54.407169,52.197475,-2.647979,0.009237
0.050000,80.154188,104.965644,32.221526,57.010082,52.058269,-2.784106,0.008942
0.050000,83.134360,104.991549,35.201811,59.605695,51.912248,-2.920429,0.008404
0.050000,86.243944,105.016486,38.311494,62.193665,51.759406,-3.056834,0.007592
0.050000,89.482546,105.039339,41.550177,64.773652,51.599740,-3.193322,0.006474
0.050000,92.849755,105.058770,44.917442,67.345315,51.433255,-3.329704,0.005016
0.050000,96.345141,105.073196,48.412858,69.908313,51.259976,-3.465586,0.003183
0.050000,99.968249,105.080766,52.035974,72.462311,51.079941,-3.600692,0.000937
0.050000,103.718597,105.079345,55.786322,75.006972,50.893229,-3.734235,6.281427
0.050000,107.595674,105.066483,59.663421,77.541970,50.699964,-3.865314,6.278241
0.050000,111.598932,105.039396,63.666770,80.066987,50.500331,-3.992655,6.274525
0.050000,115.727779,104.994943,67.795856,82.581717,50.294604,-4.114533,6.270236
0.050000,119.981570,104.929600,72.050150,85.085875,50.083172,-4.228651,6.265332
0.050000,124.359602,104.839437,76.429110,87.579204,49.866571,-4.332016,6.259768
0.050000,129.359184,104.744318,81.429596,100.009720,248.610322,3974.875015,0.015898
0.050000,136.408818,105.539294,88.523913,141.886344,837.532483,11778.443230,0.211247
0.050000,143.414466,107.826281,95.893405,147.389831,110.069741,-14549.254836,0.418380
0.050000,149.668957,111.334200,103.064469,143.421282,-79.370993,-3788.814690,0.598189
0.050000,154.906556,115.445319,109.722827,133.167173,-205.082180,-2514.223742,0.724880
0.050000,159.299208,119.648002,115.802131,121.586080,-231.621861,-530.793604,0.793197
0.050000,163.083184,123.571510,121.253038,109.018138,-251.358822,-394.739238,0.804703
0.050000,166.439441,126.942238,126.009746,95.134158,-277.679602,-526.415588,0.759569
0.050000,169.464791,129.560615,130.010826,80.021603,-302.251116,-491.430282,0.652872
