dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,48.003499,117.000000,0.063499,2.539964,50.799285,1015.985698,0.000000
0.050000,48.193996,117.000000,0.253996,5.079928,50.799285,0.000000,0.000000
0.050000,48.511492,117.000000,0.571492,7.619893,50.799285,-0.000000,0.000000
0.050000,48.955986,117.000000,1.015986,10.159857,50.799285,0.000000,0.000000
0.050000,49.527478,117.000000,1.587478,12.699821,50.799285,-0.000000,0.000000
0.050000,50.225968,117.000000,2.285968,15.239785,50.799285,0.000000,0.000000
0.050000,51.051456,117.000000,3.111456,17.779750,50.799285,0.000000,0.000000
0.050000,52.003943,117.000000,4.063943,20.319714,50.799285,0.000000,0.000000
0.050000,53.083428,117.000000,5.143428,22.859678,50.799285,0.000000,0.000000
0.050000,54.289911,117.000000,6.349911,25.399642,50.799285,-0.000000,0.000000
0.050000,55.623392,117.000000,7.683392,27.939607,50.799285,0.000000,0.000000
0.050000,57.083871,117.000000,9.143871,30.479571,50.799285,-0.000000,0.000000
0.050000,58.671349,117.000000,10.731349,33.019535,50.799285,0.000000,0.000000
0.050000,60.385825,117.000000,12.445825,35.559499,50.799285,-0.000000,0.000000
0.050000,62.227299,117.000000,14.287299,38.099464,50.799285,0.000000,0.000000
0.050000,64.195771,117.000000,16.255771,40.639428,50.799285,0.000000,0.000000
0.050000,66.291242,117.000000,18.351242,43.179392,50.799285,0.000000,0.000000
0.050000,68.513710,117.000000,20.573710,45.719356,50.799285,0.000000,0.000000
0.050000,70.863177,117.000000,22.923177,48.259321,50.799285,0.000000,0.000000
0.050000,73.339642,117.000000,25.399642,50.799285,50.799285,-0.000000,0.000000
0.050000,75.943106,117.000000,28.003106,53.339249,50.799285,0.000000,0.000000
0.050000,78.578088,117.000000,30.638088,52.060036,-25.584267,-1527.671047,0.000000
0.050000,81.117591,117.000000,33.177591,49.520072,-50.799285,-504.300348,0.000000
0.050000,83.530095,117.000000,35.590095,46.980107,-50.799285,0.000000,0.000000
0.050000,85.815601,117.000000,37.875601,44.440143,-50.799285,-0.000000,0.000000
0.050000,87.974109,117.000000,40.034109,41.900179,-50.799285,0.000000,0.000000
0.050000,90.005619,117.000000,42.065619,39.360215,-50.799285,-0.000000,0.000000
0.050000,91.910131,117.000000,43.970131,36.820250,-50.799285,0.000000,0.000000
0.050000,93.687644,117.000000,45.747644,34.280286,-50.799285,0.000000,0.000000
0.050000,95.338159,117.000000,47.398159,31.740322,-50.799285,0.000000,0.000000
0.050000,96.861676,117.000000,48.921676,29.200358,-50.799285,-0.000000,0.000000
0.050000,98.258195,117.000000,50.318195,26.660393,-50.799285,0.000000,0.000000
0.050000,99.527716,117.000000,51.587716,24.120429,-50.799285,-0.000000,0.000000
0.050000,100.670238,117.000000,52.730238,21.580465,-50.799285,0.000000,0.000000
0.050000,101.685762,117.000000,53.745762,19.040501,-50.799285,0.000000,0.000000
0.050000,102.574288,117.000000,54.634288,16.500536,-50.799285,-0.000000,0.000000
0.050000,103.335816,117.000000,55.395816,13.960572,-50.799285,0.000000,0.000000
0.050000,103.970345,117.000000,56.030345,11.420608,-50.799285,0.000000,0.000000
0.050000,104.477877,117.000000,56.537877,8.880644,-50.799285,0.000000,0.000000
0.050000,104.858410,117.000000,56.918410,6.340679,-50.799285,-0.000000,0.000000
0.050000,105.111945,117.000000,57.171945,3.800715,-50.799285,0.000000,0.000000
0.050000,105.238481,117.000000,57.298481,1.260751,-50.799285,-0.000000,0.000000
0.050000,105.270000,117.000000,57.330000,0.000000,-25.215017,511.685350,0.000000
0.050000,105.270000,117.000000,57.330000,0.000000,0.000000,504.300348,0.000000
0.050000,105.270000,117.000000,57.330000,0.000000,0.000000,0.000000,0.000000
