dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.490278,4.399368,0.000200,0.019963,0.998148,49.907407,0.002088
0.020000,0.490573,4.399368,0.000494,0.014733,-0.261510,-62.982891,0.001079
0.020000,0.491906,4.399368,0.001828,0.066691,2.597910,142.970964,6.282244
0.020000,0.495189,4.399360,0.005110,0.164110,4.870945,113.651773,6.279208
0.020000,0.499569,4.399334,0.009491,0.219026,2.745808,-106.256852,6.275144
0.020000,0.505051,4.399276,0.014973,0.274107,2.754038,0.411510,6.270043
0.020000,0.511638,4.399169,0.021561,0.329397,2.764530,0.524580,6.263889
0.020000,0.519335,4.398993,0.029260,0.384951,2.777662,0.656589,6.256665
0.020000,0.528146,4.398722,0.038075,0.440769,2.790898,0.661822,6.248353
0.020000,0.538076,4.398329,0.048013,0.496898,2.806496,0.779875,6.238930
0.020000,0.549130,4.397781,0.059080,0.553342,2.822174,0.783924,6.228376
0.020000,0.561310,4.397042,0.071282,0.610116,2.838707,0.826651,6.216668
0.020000,0.574619,4.396069,0.084627,0.667235,2.855962,0.862742,6.203783
0.020000,0.589057,4.394818,0.099120,0.724632,2.869817,0.692752,6.189701
0.020000,0.604624,4.393238,0.114766,0.782314,2.884127,0.715493,6.174402
0.020000,0.621313,4.391276,0.131570,0.840221,2.895363,0.561809,6.157872
0.020000,0.639117,4.388873,0.149535,0.898247,2.901281,0.295900,6.140101
0.020000,0.658021,4.385965,0.168662,0.956346,2.904924,0.182137,6.121086
0.020000,0.678008,4.382489,0.188949,1.014331,2.899281,-0.282112,6.100834
0.020000,0.699050,4.378375,0.210390,1.072041,2.885495,-0.689316,6.079364
0.020000,0.721115,4.373553,0.232976,1.129295,2.862670,-1.141256,6.056706
0.020000,0.744162,4.367953,0.256693,1.185866,2.828574,-1.704797,6.032908
0.020000,0.768140,4.361504,0.281523,1.241495,2.781451,-2.356144,6.008034
0.020000,0.792989,4.354140,0.307440,1.295868,2.718635,-3.140831,5.982171
0.020000,0.818641,4.345798,0.334415,1.348721,2.642645,-3.799473,5.955422
0.020000,0.845019,4.336422,0.362409,1.399717,2.549803,-4.642094,5.927914
0.020000,0.872036,4.325963,0.391381,1.448577,2.443007,-5.339812,5.899794
0.020000,0.899602,4.314382,0.421280,1.494999,2.321086,-6.096044,5.871229
0.020000,0.927621,4.301653,0.452055,1.538743,2.187206,-6.693994,5.842402
0.020000,0.955995,4.287761,0.483647,1.579607,2.043239,-7.198378,5.813511
0.020000,0.984627,4.272705,0.515997,1.617451,1.892160,-7.553938,5.784762
0.020000,1.013422,4.256495,0.549040,1.652199,1.737396,-7.738219,5.756368
0.020000,1.042293,4.239157,0.582717,1.683843,1.582200,-7.759781,5.728542
0.020000,1.071159,4.220725,0.616966,1.712442,1.429959,-7.612048,5.701491
0.020000,1.099950,4.201245,0.651728,1.738108,1.283300,-7.332925,5.675417
0.020000,1.128607,4.180771,0.686948,1.760999,1.144588,-6.935635,5.650511
0.020000,1.157085,4.159364,0.722574,1.781304,1.015209,-6.468914,5.626948
0.020000,1.185348,4.137091,0.758559,1.799218,0.895705,-5.975243,5.604894
0.020000,1.213374,4.114023,0.794857,1.814935,0.785867,-5.491876,5.584498
0.020000,1.241153,4.090236,0.831430,1.828629,0.684682,-5.059280,5.565899
0.020000,1.268685,4.065804,0.868239,1.840447,0.590914,-4.688388,5.549225
0.020000,1.295980,4.040809,0.905249,1.850482,0.501732,-4.459110,5.534600
0.020000,1.323054,4.015333,0.942424,1.858787,0.415259,-4.323632,5.522140
0.020000,1.349932,3.989461,0.979731,1.865346,0.327942,-4.365829,5.511966
0.020000,1.376644,3.963282,1.017133,1.870090,0.237236,-4.535325,5.504202
