dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.490888,4.107369,0.000200,0.019963,0.998148,49.907407,0.002088
0.020000,0.490888,4.107369,0.000998,0.059889,1.996296,49.907407,0.001079
0.020000,0.491632,4.107368,0.002595,0.099815,1.996296,0.000000,6.282244
0.020000,0.494027,4.107362,0.004991,0.139741,1.996296,0.000000,6.279208
0.020000,0.497221,4.107343,0.008185,0.179667,1.996296,-0.000000,6.275144
0.020000,0.501214,4.107301,0.012177,0.219593,1.996296,0.000000,6.270043
0.020000,0.506004,4.107223,0.016969,0.259519,1.996296,0.000000,6.263889
0.020000,0.511592,4.107095,0.022558,0.299444,1.996296,-0.000000,6.256665
0.020000,0.517977,4.106899,0.028946,0.339370,1.996296,0.000000,6.248353
0.020000,0.525158,4.106615,0.036133,0.379296,1.996296,0.000000,6.238930
0.020000,0.533134,4.106220,0.044118,0.419222,1.996296,-0.000000,6.228376
0.020000,0.541901,4.105687,0.052902,0.459148,1.996296,0.000000,6.216668
0.020000,0.551458,4.104989,0.062484,0.499074,1.996296,0.000000,6.203783
0.020000,0.561800,4.104093,0.072865,0.539000,1.996296,0.000000,6.189701
0.020000,0.572922,4.102964,0.084044,0.578926,1.996296,0.000000,6.174402
0.020000,0.584817,4.101566,0.096022,0.618852,1.996296,-0.000000,6.157872
0.020000,0.597478,4.099857,0.108798,0.658778,1.996296,0.000000,6.140101
0.020000,0.610895,4.097793,0.122373,0.698704,1.996296,-0.000000,6.121086
0.020000,0.625056,4.095330,0.136746,0.738630,1.996296,0.000000,6.100834
0.020000,0.639946,4.092419,0.151918,0.778556,1.996296,-0.000000,6.079364
0.020000,0.655547,4.089010,0.167889,0.818481,1.996296,0.000000,6.056706
0.020000,0.671842,4.085050,0.184657,0.858407,1.996296,-0.000000,6.032908
0.020000,0.688806,4.080488,0.202225,0.898333,1.996296,0.000000,6.008034
0.020000,0.706414,4.075270,0.220591,0.938259,1.996296,-0.000000,5.982171
0.020000,0.724639,4.069343,0.239755,0.978185,1.996296,0.000000,5.955422
0.020000,0.743448,4.062657,0.259718,1.018111,1.996296,0.000000,5.927914
0.020000,0.762808,4.055161,0.280480,1.058037,1.996296,0.000000,5.899794
0.020000,0.782685,4.046811,0.302040,1.097963,1.996296,0.000000,5.871229
0.020000,0.803040,4.037563,0.324398,1.137889,1.996296,0.000000,5.842402
0.020000,0.823837,4.027380,0.347555,1.177815,1.996296,0.000000,5.813511
0.020000,0.845039,4.016230,0.371511,1.217741,1.996296,0.000000,5.784762
0.020000,0.866609,4.004087,0.396265,1.257667,1.996296,0.000000,5.756368
0.020000,0.888514,3.990931,0.421817,1.297593,1.996296,-0.000000,5.728542
0.020000,0.910722,3.976749,0.448169,1.337519,1.996296,0.000000,5.701491
0.020000,0.933207,3.961535,0.475318,1.377444,1.996296,0.000000,5.675417
0.020000,0.955947,3.945288,0.503266,1.417370,1.996296,0.000000,5.650511
0.020000,0.978924,3.928014,0.532013,1.457296,1.996296,-0.000000,5.626948
0.020000,1.002128,3.909726,0.561558,1.497222,1.996296,0.000000,5.604894
0.020000,1.025556,3.890443,0.591902,1.537148,1.996296,0.000000,5.584498
0.020000,1.049210,3.870187,0.623044,1.577074,1.996296,0.000000,5.565899
0.020000,1.073099,3.848986,0.654985,1.617000,1.996296,-0.000000,5.549225
0.020000,1.097243,3.826875,0.687724,1.656926,1.996296,0.000000,5.534600
0.020000,1.121667,3.803891,0.721262,1.696852,1.996296,0.000000,5.522140
0.020000,1.146405,3.780079,0.755598,1.736778,1.996296,-0.000000,5.511966
0.020000,1.171498,3.755487,0.790733,1.776704,1.996296,0.000000,5.504202
0.020000,1.196997,3.730169,0.826666,1.816630,1.996296,-0.000000,5.498982
0.020000,1.222963,3.704188,0.863398,1.856556,1.996296,0.000000,5.496453
0.020000,1.249463,3.677612,0.900929,1.896481,1.996296,-0.000000,5.496784
0.020000,1.276577,3.650521,0.939257,1.936407,1.996296,0.000000,5.500164
0.020000,1.304394,3.623005,0.978385,1.976333,1.996296,-0.000000,5.506812
0.020000,1.333014,3.595166,1.018311,2.016259,1.996296,0.000000,5.516980
0.020000,1.362545,3.567124,1.059035,2.056185,1.996296,-0.000000,5.530952
0.020000,1.393110,3.539018,1.100558,2.096111,1.996296,-0.000000,5.549051
0.020000,1.424837,3.511011,1.142880,2.136037,1.996296,0.000000,5.571629
0.020000,1.457711,3.483418,1.185800,2.156000,0.998148,-49.907407,5.598921
0.020000,1.491544,3.456688,1.228920,2.156000,0.000000,-49.907407,5.630921
0.020000,1.526274,3.431136,1.272040,2.156000,0.000000,0.000000,5.667594
0.020000,1.561974,3.406957,1.315160,2.156000,0.000000,0.000000,5.708942
0.020000,1.598694,3.384360,1.358280,2.156000,0.000000,0.000000,5.754851
0.020000,1.636457,3.363554,1.401400,2.156000,0.000000,0.000000,5.805050
0.020000,1.675253,3.344746,1.444520,2.156000,0.000000,0.000000,5.859078
0.020000,1.715035,3.328126,1.487640,2.156000,0.000000,0.000000,5.916275
0.020000,1.755719,3.313857,1.530760,2.156000,0.000000,0.000000,5.975792
0.020000,1.797189,3.302066,1.573880,2.156000,0.000000,0.000000,6.036646
0.020000,1.839300,3.292828,1.617000,2.156000,0.000000,0.000000,6.097788
0.020000,1.880646,3.286039,1.660120,2.156000,0.000000,0.000000,6.136833
0.020000,1.923397,3.280424,1.703240,2.156000,0.000000,0.000000,6.168529
0.020000,1.966307,3.276192,1.746360,2.156000,0.000000,0.000000,6.201439
0.020000,2.009334,3.273400,1.789480,2.156000,0.000000,0.000000,6.235527
0.020000,2.052432,3.272100,1.832600,2.156000,0.000000,0.000000,6.270737
0.020000,2.095549,3.272342,1.875720,2.156000,0.000000,0.000000,0.023807
0.020000,2.138628,3.274166,1.918840,2.156000,0.000000,0.000000,0.061008
0.020000,2.181608,3.277610,1.961960,2.156000,0.000000,0.000000,0.099033
0.020000,2.224424,3.282701,2.005080,2.156000,0.000000,0.000000,0.137740
0.020000,2.267008,3.289456,2.048200,2.156000,0.000000,0.000000,0.176969
0.020000,2.309294,3.297884,2.091320,2.156000,0.000000,0.000000,0.216544
0.020000,2.351212,3.307982,2.134440,2.156000,0.000000,0.000000,0.256281
0.020000,2.392695,3.319738,2.177560,2.156000,0.000000,0.000000,0.295988
0.020000,2.433681,3.333128,2.220680,2.156000,0.000000,0.000000,0.335476
0.020000,2.474109,3.348117,2.263800,2.156000,0.000000,0.000000,0.374562
0.020000,2.513925,3.364664,2.306920,2.156000,0.000000,0.000000,0.413074
0.020000,2.553080,3.382718,2.350040,2.156000,0.000000,0.000000,0.450858
0.020000,2.591534,3.402222,2.393160,2.156000,0.000000,0.000000,0.487777
0.020000,2.629252,3.423114,2.436280,2.156000,0.000000,0.000000,0.523715
0.020000,2.666207,3.445329,2.479400,2.156000,0.000000,0.000000,0.558581
0.020000,2.702379,3.468797,2.522520,2.156000,0.000000,0.000000,0.592303
0.020000,2.737753,3.493451,2.565640,2.156000,0.000000,0.000000,0.624831
0.020000,2.772323,3.519221,2.608760,2.156000,0.000000,0.000000,0.656135
0.020000,2.806086,3.546040,2.651880,2.156000,0.000000,0.000000,0.686202
0.020000,2.839045,3.573842,2.695000,2.156000,0.000000,0.000000,0.715031
0.020000,2.871207,3.602562,2.738120,2.156000,0.000000,0.000000,0.742637
0.020000,2.901784,3.631870,2.781240,2.156000,0.000000,0.000000,0.803851
0.020000,2.929975,3.664470,2.824360,2.156000,0.000000,0.000000,0.914136
0.020000,2.954166,3.700132,2.867480,2.156000,0.000000,0.000000,1.037096
0.020000,2.973646,3.738567,2.910600,2.156000,0.000000,0.000000,1.166756
0.020000,2.988005,3.779195,2.953720,2.156000,0.000000,0.000000,1.294213
0.020000,2.997292,3.821278,2.996840,2.156000,0.000000,0.000000,1.410483
0.020000,3.001992,3.864123,3.039960,2.156000,0.000000,0.000000,1.509395
0.020000,3.002863,3.907223,3.083080,2.156000,0.000000,0.000000,1.588441
0.020000,3.000755,3.950285,3.126200,2.156000,0.000000,0.000000,1.647746
0.020000,2.996500,3.993192,3.169320,2.156000,0.000000,0.000000,1.688611
0.020000,2.990863,4.035941,3.212440,2.156000,0.000000,0.000000,1.712460
0.020000,2.984552,4.078596,3.255560,2.156000,0.000000,0.000000,1.720293
0.020000,2.978241,4.121252,3.298680,2.156000,0.000000,0.000000,1.712463
0.020000,2.972604,4.164001,3.341800,2.156000,0.000000,0.000000,1.688618
0.020000,2.968424,4.206126,3.384920,2.156000,0.000000,0.000000,1.639553
0.020000,2.968673,4.249208,3.428040,2.156000,0.000000,0.000000,1.496446
0.020000,2.974307,4.291937,3.471160,2.156000,0.000000,0.000000,1.388616
0.020000,2.983837,4.333980,3.514280,2.156000,0.000000,0.000000,1.311858
0.020000,2.996021,4.375338,3.557400,2.156000,0.000000,0.000000,1.260565
0.020000,3.009870,4.416172,3.600520,2.156000,0.000000,0.000000,1.230275
0.020000,3.024574,4.456707,3.643640,2.156000,0.000000,0.000000,1.218226
0.020000,3.039419,4.497191,3.686760,2.156000,0.000000,0.000000,1.223313
0.020000,3.053704,4.537875,3.729880,2.156000,0.000000,0.000000,1.246002
0.020000,3.066667,4.578997,3.773000,2.156000,0.000000,0.000000,1.288373
0.020000,3.077403,4.620751,3.816120,2.156000,0.000000,0.000000,1.354213
0.020000,3.084777,4.663220,3.859240,2.156000,0.000000,0.000000,1.448819
0.020000,3.087388,4.706231,3.902360,2.156000,0.000000,0.000000,1.577477
0.020000,3.083700,4.749145,3.945480,2.156000,0.000000,0.000000,1.740901
0.020000,3.072522,4.790725,3.988600,2.156000,0.000000,0.000000,1.928272
0.020000,3.053690,4.829444,4.031720,2.156000,0.000000,0.000000,2.116745
0.020000,3.028244,4.864192,4.074840,2.156000,0.000000,0.000000,2.284297
0.020000,2.997799,4.894681,4.117960,2.156000,0.000000,0.000000,2.421494
0.020000,2.963851,4.921233,4.161080,2.156000,0.000000,0.000000,2.529802
0.020000,2.927503,4.944407,4.204200,2.156000,0.000000,0.000000,2.614805
0.020000,2.889502,4.964767,4.247320,2.156000,0.000000,0.000000,2.682158
0.020000,2.851355,4.982387,4.290440,2.156000,0.000000,0.000000,2.729361
0.020000,2.811649,4.999199,4.333560,2.156000,0.000000,0.000000,2.752891
0.020000,2.771553,5.015059,4.376680,2.156000,0.000000,0.000000,2.777031
0.020000,2.731081,5.029936,4.419800,2.156000,0.000000,0.000000,2.801764
0.020000,2.690250,5.043795,4.462920,2.156000,0.000000,0.000000,2.827067
0.020000,2.649078,5.056605,4.506040,2.156000,0.000000,0.000000,2.852910
0.020000,2.607586,5.068337,4.549160,2.156000,0.000000,0.000000,2.879259
0.020000,2.565797,5.078961,4.592280,2.156000,0.000000,0.000000,2.906074
0.020000,2.523736,5.088452,4.635400,2.156000,0.000000,0.000000,2.933308
0.020000,2.481430,5.096786,4.678520,2.156000,0.000000,0.000000,2.960910
0.020000,2.438910,5.103943,4.721640,2.156000,0.000000,0.000000,2.988822
0.020000,2.396205,5.109905,4.764760,2.156000,0.000000,0.000000,3.016984
0.020000,2.353350,5.114658,4.807880,2.156000,0.000000,0.000000,3.045332
0.020000,2.310376,5.118191,4.851000,2.156000,0.000000,0.000000,3.073796
0.020000,2.267319,5.120498,4.894120,2.156000,0.000000,0.000000,3.102309
0.020000,2.224214,5.121578,4.937240,2.156000,0.000000,0.000000,3.130800
0.020000,2.181096,5.121430,4.980360,2.156000,0.000000,0.000000,3.159199
0.020000,2.137999,5.120062,5.023480,2.156000,0.000000,0.000000,3.187438
0.020000,2.094958,5.117482,5.066600,2.156000,0.000000,0.000000,3.215451
0.020000,2.052005,5.113703,5.109720,2.156000,0.000000,0.000000,3.243176
0.020000,2.009173,5.108742,5.152840,2.156000,0.000000,0.000000,3.270554
0.020000,1.966491,5.102619,5.195960,2.156000,0.000000,0.000000,3.297531
0.020000,1.923988,5.095357,5.239080,2.156000,0.000000,0.000000,3.324060
0.020000,1.881691,5.086979,5.282200,2.156000,0.000000,0.000000,3.350098
0.020000,1.839624,5.077515,5.325320,2.156000,0.000000,0.000000,3.375608
0.020000,1.798808,5.067738,5.368440,2.156000,0.000000,0.000000,3.365641
0.020000,1.756639,5.058739,5.411560,2.156000,0.000000,0.000000,3.338646
0.020000,1.714256,5.050806,5.454680,2.156000,0.000000,0.000000,3.315167
0.020000,1.671710,5.043796,5.497800,2.156000,0.000000,0.000000,3.295200
0.020000,1.629044,5.037562,5.540920,2.156000,0.000000,0.000000,3.278719
0.020000,1.586290,5.031959,5.584040,2.156000,0.000000,0.000000,3.265684
0.020000,1.543475,5.026840,5.627160,2.156000,0.000000,0.000000,3.256054
0.020000,1.500621,5.022061,5.670280,2.156000,0.000000,0.000000,3.249794
0.020000,1.457745,5.017479,5.713400,2.156000,0.000000,0.000000,3.246877
0.020000,1.414863,5.012950,5.756520,2.156000,0.000000,0.000000,3.247291
0.020000,1.371991,5.008333,5.799640,2.156000,0.000000,0.000000,3.251038
0.020000,1.329145,5.003483,5.842760,2.156000,0.000000,0.000000,3.258134
0.020000,1.286343,4.998257,5.885880,2.156000,0.000000,0.000000,3.268607
0.020000,1.243608,4.992510,5.929000,2.156000,0.000000,0.000000,3.282496
0.020000,1.200968,4.986097,5.972120,2.156000,0.000000,0.000000,3.299841
0.020000,1.158459,4.978871,6.015240,2.156000,0.000000,0.000000,3.320680
0.020000,1.116124,4.970687,6.058360,2.156000,0.000000,0.000000,3.345034
0.020000,1.074017,4.961400,6.101480,2.156000,0.000000,0.000000,3.372901
0.020000,1.032204,4.950870,6.144600,2.156000,0.000000,0.000000,3.404235
0.020000,0.990762,4.938966,6.187720,2.156000,0.000000,0.000000,3.438932
0.020000,0.949780,4.925566,6.230840,2.156000,0.000000,0.000000,3.476821
0.020000,0.909358,4.910562,6.273960,2.156000,0.000000,0.000000,3.517640
0.020000,0.869604,4.893869,6.317080,2.156000,0.000000,0.000000,3.561041
0.020000,0.830632,4.875424,6.360200,2.156000,0.000000,0.000000,3.606584
0.020000,0.792558,4.855191,6.403320,2.156000,0.000000,0.000000,3.653749
0.020000,0.755493,4.833164,6.446440,2.156000,0.000000,0.000000,3.701961
0.020000,0.719540,4.809367,6.489560,2.156000,0.000000,0.000000,3.750621
0.020000,0.687306,4.785823,6.532680,2.156000,0.000000,0.000000,3.794013
0.020000,0.653726,4.758782,6.575800,2.156000,0.000000,0.000000,3.846528
0.020000,0.621748,4.729865,6.618920,2.156000,0.000000,0.000000,3.908820
0.020000,0.591816,4.698842,6.662040,2.156000,0.000000,0.000000,3.983164
0.020000,0.564508,4.665490,6.705160,2.156000,0.000000,0.000000,4.072046
0.020000,0.540564,4.629652,6.748280,2.156000,0.000000,0.000000,4.177604
0.020000,0.520865,4.591326,6.791400,2.156000,0.000000,0.000000,4.300462
0.020000,0.506329,4.550766,6.834520,2.156000,0.000000,0.000000,4.438074
0.020000,0.497693,4.508559,6.877640,2.156000,0.000000,0.000000,4.583609
