dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.491497,3.815369,0.000200,0.019963,0.998148,49.907407,0.002088
0.020000,0.491203,3.815369,0.000494,0.014733,-0.261510,-62.982891,0.001079
0.020000,0.491357,3.815368,0.000648,0.007705,-0.351408,-4.494892,6.282244
0.020000,0.492866,3.815365,0.002157,0.075441,3.386841,186.912450,6.279208
0.020000,0.494873,3.815353,0.004165,0.100385,1.247177,-106.983243,6.275144
0.020000,0.497376,3.815326,0.006668,0.125151,1.238291,-0.444284,6.270043
0.020000,0.500370,3.815278,0.009662,0.149703,1.227611,-0.533985,6.263889
0.020000,0.503849,3.815198,0.013142,0.174014,1.215555,-0.602793,6.256665
0.020000,0.507808,3.815076,0.017103,0.198040,1.201305,-0.712538,6.248353
0.020000,0.512240,3.814901,0.021538,0.221766,1.186308,-0.749853,6.238930
0.020000,0.517137,3.814658,0.026442,0.245168,1.170080,-0.811396,6.228376
0.020000,0.522492,3.814333,0.031807,0.268241,1.153647,-0.821646,6.216668
0.020000,0.528297,3.813909,0.037627,0.290996,1.137775,-0.793580,6.203783
0.020000,0.534542,3.813368,0.043895,0.313430,1.121685,-0.804522,6.189701
0.020000,0.541220,3.812690,0.050607,0.335596,1.108279,-0.670268,6.174402
0.020000,0.548322,3.811855,0.057758,0.357545,1.097454,-0.541263,6.157872
0.020000,0.555840,3.810841,0.065345,0.379343,1.089925,-0.376456,6.140101
0.020000,0.563769,3.809621,0.073367,0.401120,1.088860,-0.053260,6.121086
0.020000,0.572104,3.808172,0.081827,0.422988,1.093379,0.225978,6.100834
0.020000,0.580841,3.806463,0.090729,0.445112,1.106214,0.641738,6.079364
0.020000,0.589979,3.804466,0.100083,0.467698,1.129294,1.154007,6.056706
0.020000,0.599521,3.802148,0.109903,0.490978,1.163967,1.733649,6.032908
0.020000,0.609472,3.799472,0.120207,0.515210,1.211612,2.382244,6.008034
0.020000,0.619839,3.796399,0.131020,0.540667,1.272880,3.063393,5.982171
0.020000,0.630636,3.792888,0.142374,0.567668,1.350039,3.857952,5.955422
0.020000,0.641877,3.788892,0.154304,0.596509,1.442047,4.600391,5.927914
0.020000,0.653581,3.784360,0.166854,0.627503,1.549718,5.383569,5.899794
0.020000,0.665767,3.779240,0.180072,0.660926,1.671135,6.070832,5.871229
0.020000,0.678459,3.773473,0.194013,0.697030,1.805182,6.702349,5.842402
0.020000,0.691679,3.766999,0.208733,0.736014,1.949223,7.202074,5.813511
0.020000,0.705451,3.759756,0.224294,0.778020,2.100310,7.554358,5.784762
0.020000,0.719796,3.751679,0.240756,0.823124,2.255198,7.744379,5.756368
0.020000,0.734735,3.742706,0.258183,0.871333,2.410412,7.760715,5.728542
0.020000,0.750285,3.732774,0.276635,0.922589,2.562795,7.619119,5.701491
0.020000,0.766464,3.721825,0.296170,0.976777,2.709431,7.331812,5.675417
0.020000,0.783286,3.709805,0.316845,1.033742,2.848220,6.939452,5.650511
0.020000,0.800763,3.696664,0.338711,1.093296,2.977715,6.474764,5.626948
0.020000,0.818909,3.682362,0.361816,1.155241,3.097273,5.977908,5.604894
0.020000,0.837738,3.666862,0.386203,1.219384,3.207106,5.491632,5.584498
0.020000,0.857266,3.650138,0.411914,1.285546,3.308138,5.051573,5.565899
0.020000,0.877513,3.632168,0.438986,1.353591,3.402260,4.706142,5.549225
0.020000,0.898507,3.612940,0.467454,1.423414,3.491146,4.444266,5.534600
0.020000,0.920281,3.592450,0.497354,1.494972,3.577879,4.336675,5.522140
0.020000,0.942878,3.570697,0.528719,1.568269,3.664848,4.348441,5.511966
0.020000,0.966351,3.547691,0.561587,1.643382,3.755649,4.540066,5.504202
0.020000,0.990769,3.523447,0.595996,1.720449,3.853358,4.885413,5.498982
0.020000,1.016212,3.497988,0.631989,1.799676,3.961368,5.400519,5.496453
0.020000,1.042781,3.471344,0.669616,1.881341,4.083214,6.092315,5.496784
0.020000,1.070593,3.443556,0.708932,1.965789,4.222419,6.960245,5.500164
0.020000,1.099791,3.414675,0.750001,2.053431,4.382116,7.984836,5.506812
0.020000,1.130539,3.384766,0.792895,2.144736,4.565231,9.155740,5.516980
0.020000,1.163030,3.353916,0.837700,2.240209,4.773664,10.421657,5.530952
