dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.615468,3.378297,0.000200,0.019963,0.998148,49.907407,6.280601
0.020000,2.615242,3.378298,0.000426,0.011314,-0.432471,-71.530957,6.281376
0.020000,2.614789,3.378298,0.000879,0.022637,0.566150,49.931056,6.282926
0.020000,2.616239,3.378300,0.002328,0.072471,2.491736,96.279287,0.002070
0.020000,2.618524,3.378308,0.004613,0.114260,2.089440,-20.114786,0.005182
0.020000,2.621377,3.378329,0.007466,0.142661,1.420062,-33.468886,0.009085
0.020000,2.624795,3.378368,0.010885,0.170920,1.412920,-0.357139,0.013785
0.020000,2.628776,3.378433,0.014866,0.199073,1.407689,-0.261515,0.019292
0.020000,2.633316,3.378535,0.019408,0.227066,1.399600,-0.404443,0.025617
0.020000,2.638412,3.378684,0.024505,0.254885,1.390979,-0.431057,0.032772
0.020000,2.644059,3.378892,0.030156,0.282526,1.382057,-0.446129,0.040767
0.020000,2.650252,3.379172,0.036355,0.309974,1.372364,-0.484639,0.049617
0.020000,2.656987,3.379539,0.043100,0.337233,1.362985,-0.468934,0.059334
0.020000,2.664257,3.380010,0.050386,0.364305,1.353581,-0.470209,0.069932
0.020000,2.672059,3.380601,0.058210,0.391192,1.344383,-0.459910,0.081422
0.020000,2.680385,3.381332,0.066568,0.417926,1.336698,-0.384254,0.093818
0.020000,2.689230,3.382224,0.075458,0.444478,1.327590,-0.455417,0.107127
0.020000,2.698588,3.383298,0.084877,0.470954,1.323784,-0.190300,0.121359
0.020000,2.708452,3.384576,0.094824,0.497360,1.320307,-0.173829,0.136517
0.020000,2.718818,3.386085,0.105299,0.523727,1.318342,-0.098225,0.152603
0.020000,2.729679,3.387850,0.116303,0.550182,1.322762,0.220969,0.169612
0.020000,2.741031,3.389899,0.127838,0.576778,1.329787,0.351280,0.187534
0.020000,2.752870,3.392261,0.139910,0.603591,1.340652,0.543225,0.206353
0.020000,2.765191,3.394968,0.152525,0.630779,1.359403,0.937566,0.226045
0.020000,2.777994,3.398051,0.165694,0.658441,1.383102,1.184943,0.246578
0.020000,2.791276,3.401545,0.179428,0.686707,1.413279,1.508847,0.267908
0.020000,2.805038,3.405487,0.193743,0.715747,1.452042,1.938161,0.289985
0.020000,2.819280,3.409914,0.208657,0.745702,1.497716,2.283674,0.312743
0.020000,2.834004,3.414866,0.224192,0.776735,1.551651,2.696754,0.336112
0.020000,2.849213,3.420386,0.240372,0.808998,1.613158,3.075379,0.360004
