dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.613959,2.794299,0.000200,0.019963,0.998148,49.907407,6.280601
0.020000,2.614186,2.794299,0.000426,0.011314,-0.432471,-71.530957,6.281376
0.020000,2.614638,2.794298,0.000879,0.022637,0.566150,49.931056,6.282926
0.020000,2.617448,2.794301,0.003688,0.140474,5.891870,266.285977,0.002070
0.020000,2.621550,2.794316,0.007791,0.205131,3.232853,-132.950840,0.005182
0.020000,2.626683,2.794353,0.012923,0.256613,2.574113,-32.937018,0.009085
0.020000,2.632845,2.794423,0.019086,0.308159,2.577305,0.159625,0.013785
0.020000,2.640042,2.794542,0.026284,0.359893,2.586702,0.469869,0.019292
0.020000,2.648275,2.794727,0.034519,0.411762,2.593438,0.336786,0.025617
0.020000,2.657547,2.794998,0.043795,0.463789,2.601350,0.395581,0.032772
0.020000,2.667860,2.795377,0.054115,0.515998,2.610433,0.454185,0.040767
0.020000,2.679216,2.795891,0.065483,0.568384,2.619310,0.443842,0.049617
0.020000,2.691617,2.796567,0.077902,0.620971,2.629329,0.500933,0.059334
0.020000,2.705064,2.797437,0.091377,0.673753,2.639115,0.489311,0.069932
0.020000,2.719557,2.798536,0.105912,0.726717,2.648190,0.453760,0.081422
0.020000,2.735095,2.799901,0.121509,0.779875,2.657930,0.486964,0.093818
0.020000,2.751673,2.801572,0.138171,0.833108,2.661619,0.184444,0.107127
0.020000,2.769287,2.803593,0.155902,0.886516,2.670433,0.440713,0.121359
0.020000,2.787931,2.806010,0.174701,0.939987,2.673515,0.154106,0.136517
0.020000,2.807592,2.808872,0.194569,0.993412,2.671287,-0.111388,0.152603
0.020000,2.828258,2.812230,0.215506,1.046834,2.671094,-0.009665,0.169612
0.020000,2.849910,2.816139,0.237508,1.100110,2.663779,-0.365719,0.187534
0.020000,2.872526,2.820651,0.260570,1.153101,2.649577,-0.710146,0.206353
0.020000,2.896081,2.825824,0.284686,1.205784,2.634144,-0.771651,0.226045
0.020000,2.920541,2.831715,0.309846,1.257982,2.609886,-1.212888,0.246578
